cliente_id;idade;profissao;estado;renda_mensal;data_cadastro;num_compras;valor_total_gasto;modelo_preferido;satisfacao_cliente;canal_aquisicao
49;28;Médico;BA;13449,66;2024-04-28;1;348,61;Slip-on;4,5;Indicação
50;28;Contador;MG;5892,99;2024-04-14;1;277,58;Slip-on;5,0;Outros
51;45;UX/UI Designer;SC;15268,59;2024-03-23;1;296,77;Slip-on;5,0;Google Ads
52;31;Gerente de Projetos;RJ;10109,99;2024-06-02;1;344,26;Classic;5,0;Outros
53;24;Advogado;RS;9079,4;2024-07-25;2;716,27;Slip-on;5,0;Outros
54;30;Consultor;MG;10695,59;2024-11-03;1;346,9;Classic;4,5;Indicação
55;33;Vendas;BA;8812,37;2024-12-05;1;367,66;Classic;5,0;Google Ads
56;24;Desenvolvedor;SP;7222,22;2024-01-08;1;336,63;Slip-on;4,5;Outros
57;30;Designer;GO;7269,75;2024-06-18;1;266,13;Classic;4,5;Facebook Ads
58;29;Arquiteto;SP;10749,36;2024-04-30;2;607,36;Classic;3,5;YouTube
59;24;Gerente de Projetos;AP;10362,46;2024-02-25;2;653,69;Classic;5,0;Google Ads
60;27;Publicitário;CE;7834,32;2024-08-26;1;347,6;Classic;4,0;Indicação
61;26;UX/UI Designer;BA;6524,55;2024-05-05;1;366,89;Runner;5,0;Instagram
62;24;UX/UI Designer;RS;8531,54;2024-08-23;1;297,17;Runner;5,0;Facebook Ads
63;42;Gerente de Projetos;SP;12848,46;2024-07-16;1;346,63;Classic;5,0;Google Ads
64;34;Desenvolvedor;SP;12397,85;2024-08-10;2;719,08;Classic;5,0;Instagram
65;32;Contador;PR;8396,03;2024-01-26;1;327,39;Classic;4,5;Instagram
66;26;Desenvolvedor;RS;8267,48;2024-10-19;1;350,83;Runner;4,5;Instagram
67;29;UX/UI Designer;SP;9595,2;2024-03-24;1;359,1;Runner;4,5;Facebook Ads
68;27;Médico;GO;20391,96;2024-11-29;2;694,8;Classic;5,0;Indicação
69;24;Psicólogo;GO;6839,96;2024-11-11;1;313,33;Runner;4,5;Facebook Ads
70;35;Marketing;GO;9278,06;2024-01-14;3;1016,53;Classic;5,0;Facebook Ads
71;28;Analista de Dados;SP;8971,37;2024-02-08;1;373,9;Classic;4,0;SEO
72;30;Analista de Dados;CE;12360,99;2024-02-07;2;725,55;Classic;4,5;Indicação
73;29;Jornalista;SP;5982,15;2024-10-29;1;285,49;Runner;4,0;Google Ads
74;32;Publicitário;RS;9714,87;2024-10-18;1;355,74;Slip-on;4,5;Google Ads
75;28;Product Manager;RS;16427,51;2024-04-13;2;605,48;Slip-on;5,0;Instagram
76;31;Médico;PR;15509,97;2024-04-01;1;262,01;Classic;5,0;LinkedIn
77;25;Designer;SP;5805,54;2024-11-08;1;291,24;Runner;4,5;Indicação
78;26;Psicólogo;RS;5297,09;2024-08-31;1;351,64;Classic;5,0;Instagram
79;26;Vendas;SP;5489,04;2024-06-28;1;352,36;Runner;5,0;Google Ads
80;31;Designer;MA;6706,12;2024-04-27;2;614,89;Classic;4,5;Facebook Ads
81;28;Advogado;RJ;10144,68;2024-10-31;1;326,67;Classic;5,0;Instagram
82;29;Vendas;RJ;7256,39;2024-11-14;1;283,77;Runner;4,5;YouTube
83;29;Advogado;AC;12296,54;2024-12-14;1;313,43;Classic;4,5;Instagram
84;27;UX/UI Designer;PE;8572,97;2024-09-20;1;315,31;Slip-on;5,0;Facebook Ads
85;31;Designer;SP;9573,45;2024-01-07;2;740,68;Classic;5,0;Indicação
86;32;Professor;RS;6441,59;2024-07-13;1;311,68;Classic;5,0;Facebook Ads
87;27;Outros;SC;5533,56;2024-07-20;1;366,55;Classic;4,5;Instagram
88;32;Arquiteto;RJ;8799,23;2024-10-04;2;740,98;Classic;4,5;Google Ads
89;36;Desenvolvedor;MG;10593,1;2024-01-17;2;678,15;Classic;4,0;Facebook Ads
90;27;Publicitário;SP;8284,79;2024-11-04;1;356,41;Classic;4,5;Google Ads
91;26;Jornalista;SP;5673,12;2024-10-08;1;350,87;Slip-on;5,0;Indicação
92;38;Marketing;SE;8440,78;2024-11-07;1;269,36;Runner;4,0;Instagram
93;30;Product Manager;DF;11775,53;2024-07-19;1;330,15;Runner;4,5;Google Ads
94;24;Desenvolvedor;TO;6617,66;2024-01-12;2;624,6;Classic;5,0;Facebook Ads
95;26;UX/UI Designer;PE;9008,22;2024-05-28;2;709,29;Slip-on;5,0;Indicação
96;31;Desenvolvedor;PR;8245,49;2024-01-16;3;900,83;Slip-on;3,5;Indicação
97;27;Médico;RO;20226,92;2024-03-22;2;564,77;Classic;5,0;Indicação
98;28;UX/UI Designer;RJ;10157,43;2024-06-19;1;315,22;Classic;4,5;SEO
99;27;Gerente de Projetos;PE;11744,07;2024-11-06;1;332,24;Classic;4,5;LinkedIn
100;24;Desenvolvedor;SP;6961,02;2024-11-13;1;361,62;Slip-on;5,0;Facebook Ads
101;28;Jornalista;SP;4661,04;2024-05-21;1;372,13;Runner;4,5;LinkedIn
102;24;Desenvolvedor;RJ;7108,99;2024-07-05;3;965,9;Classic;5,0;LinkedIn
103;29;Gerente de Projetos;SP;14510,54;2024-02-28;1;336,25;Runner;4,0;Google Ads
104;28;Desenvolvedor;PI;11239,4;2024-01-05;1;395,41;Slip-on;5,0;Google Ads
105;28;Jornalista;PR;4779,37;2024-06-08;1;352,72;Classic;5,0;YouTube
106;28;Marketing;SP;7922,52;2024-07-13;3;1139,18;Runner;5,0;Google Ads
107;28;Marketing;SP;8863,85;2024-03-30;2;675,92;Slip-on;5,0;Google Ads
108;35;Analista de Dados;CE;12702,22;2024-02-09;2;630,99;Slip-on;5,0;Indicação
109;34;Administrador;PR;10832,52;2024-12-10;1;301,05;Classic;5,0;Outros
110;29;Engenheiro;SP;12874,12;2024-06-06;2;566,5;Runner;4,5;Google Ads
111;24;Product Manager;MG;9986,21;2024-12-19;1;346,99;Classic;5,0;Instagram
112;39;Product Manager;RS;21572,88;2024-10-04;2;624,72;Classic;5,0;Google Ads
113;30;Marketing;RS;6624,11;2024-11-01;2;674,32;Runner;5,0;Facebook Ads
114;24;Contador;RJ;7625,22;2024-02-27;1;292,45;Slip-on;4,0;YouTube
115;29;Contador;SP;8881,41;2024-06-23;2;647,07;Slip-on;4,0;Facebook Ads
116;38;Vendas;RS;8329,97;2024-09-13;1;362,17;Classic;5,0;Indicação
117;30;Vendas;MG;6069,4;2024-05-24;1;291,11;Classic;3,5;SEO
118;27;Professor;TO;5204,61;2024-01-15;2;537,55;Runner;4,5;Google Ads
119;29;Desenvolvedor;MG;8896,41;2024-12-09;1;342,76;Classic;5,0;Facebook Ads
120;40;Publicitário;RS;11962,08;2024-04-11;3;1087,16;Classic;4,0;Instagram
121;23;Analista de Dados;SP;8231,65;2024-08-29;1;299,67;Classic;3,5;Google Ads
122;28;Desenvolvedor;MG;10605,95;2024-05-22;1;271,74;Runner;5,0;Google Ads
123;37;Desenvolvedor;MG;13346,37;2024-09-20;2;710,68;Runner;4,5;Indicação
124;30;Gerente de Projetos;DF;11965,2;2024-05-06;2;633,81;Classic;4,5;Google Ads
125;35;Designer;AC;8183,38;2024-08-08;2;678,32;Runner;5,0;Google Ads
126;45;Outros;RS;8637,8;2024-02-04;1;298,82;Runner;4,0;Outros
127;28;Administrador;RS;8909,36;2024-01-20;2;659,64;Runner;3,5;Facebook Ads
128;30;Gerente de Projetos;DF;12966,3;2024-08-30;1;341,16;Runner;5,0;Indicação
129;25;Publicitário;ES;6228,89;2024-01-14;3;951,86;Classic;4,5;YouTube
130;28;Analista de Dados;RJ;10756,42;2024-11-21;1;301,87;Slip-on;3,5;Instagram
131;30;Marketing;SP;7384,56;2024-01-10;1;296,45;Classic;5,0;Facebook Ads
132;26;Gerente de Projetos;PR;9100,27;2024-10-10;1;357,62;Classic;5,0;SEO
133;30;Administrador;SP;6890,48;2024-11-29;1;356,43;Classic;4,0;Instagram
134;37;Product Manager;MG;13395,23;2024-10-02;3;991,61;Slip-on;5,0;YouTube
135;28;Analista de Dados;MG;11118,97;2024-12-05;1;271,13;Slip-on;5,0;Google Ads
136;26;Publicitário;SP;6613,59;2024-03-26;1;372,05;Classic;3,5;Google Ads
137;34;Administrador;SC;7614,77;2024-12-10;1;321,5;Runner;4,5;Indicação
138;25;Consultor;PA;9065,17;2024-03-13;3;1164,15;Classic;4,5;Google Ads
139;31;Psicólogo;MT;7215,13;2024-03-22;3;993,94;Classic;4,5;Indicação
140;27;Consultor;RS;12612,85;2024-11-11;1;336,73;Classic;3,5;Instagram
141;26;Consultor;SC;11899,02;2024-03-25;2;650,71;Classic;4,5;Facebook Ads
142;28;UX/UI Designer;MG;9024,81;2024-12-08;1;376,03;Classic;4,0;Google Ads
143;31;Engenheiro;SP;14164,03;2024-09-27;1;303,39;Classic;5,0;Instagram
144;31;Médico;MG;19301,25;2024-04-15;2;657,58;Classic;4,0;Google Ads
145;31;Designer;MG;8855,19;2024-11-07;1;321,46;Classic;4,0;SEO
146;28;Analista de Dados;SP;7860,67;2024-04-27;2;706,01;Runner;4,0;Facebook Ads
147;36;Psicólogo;MG;7404,02;2024-03-08;1;348,64;Runner;4,0;Indicação
148;28;Gerente de Projetos;SP;12735,96;2024-08-13;1;307,08;Classic;4,5;Google Ads
149;31;Designer;RS;6360,17;2024-09-14;1;345,47;Classic;4,5;Indicação
150;22;Product Manager;GO;12029,58;2024-04-11;2;558,09;Classic;5,0;Google Ads
151;27;Designer;RJ;5751,17;2024-02-18;3;932,99;Runner;4,5;Instagram
152;31;Designer;RJ;6865,9;2024-05-09;4;1373,96;Runner;4,5;Google Ads
153;30;Outros;SP;7900,52;2024-11-06;1;285,84;Runner;4,5;Indicação
154;33;Médico;SP;18593,64;2024-04-13;1;364,95;Classic;5,0;Google Ads
155;27;Psicólogo;BA;7022,99;2024-02-07;1;263,83;Classic;4,5;Facebook Ads
156;27;Designer;MG;8355,11;2024-07-08;1;335,1;Slip-on;4,5;Outros
157;34;Designer;MS;7084,3;2024-03-22;2;685,8;Runner;4,0;Google Ads
158;34;Product Manager;SP;13363,89;2024-07-24;3;1078,4;Classic;5,0;LinkedIn
159;29;Gerente de Projetos;SC;9939,1;2024-01-25;2;579,38;Classic;4,5;Google Ads
160;33;Desenvolvedor;RS;13367,09;2024-01-20;2;595,33;Classic;5,0;Indicação
161;25;Desenvolvedor;DF;8754,15;2024-05-09;1;356,2;Classic;4,5;Google Ads
162;24;Psicólogo;SP;5173,3;2024-09-08;1;318,72;Classic;4,5;Google Ads
163;31;Administrador;SC;9879,35;2024-07-09;1;289,65;Classic;5,0;Indicação
164;33;Desenvolvedor;RJ;10968,68;2024-09-02;2;688,85;Classic;5,0;Facebook Ads
165;34;Consultor;SP;11627,35;2024-06-08;1;292,66;Classic;5,0;Google Ads
166;29;Desenvolvedor;SP;11125,82;2024-08-19;2;718,75;Classic;5,0;Google Ads
167;25;Consultor;RN;13248,86;2024-02-17;1;322,84;Slip-on;4,5;Indicação
168;31;Engenheiro;RS;12409,1;2024-12-08;1;307,45;Classic;5,0;Google Ads
169;24;Publicitário;SP;5673,92;2024-05-31;1;318,45;Classic;5,0;Outros
170;38;Psicólogo;RJ;8390,59;2024-09-17;1;332,4;Classic;4,0;Outros
171;27;Psicólogo;RS;6302,57;2024-02-18;1;277,32;Slip-on;4,5;YouTube
172;27;Desenvolvedor;RJ;7721,37;2024-09-25;1;368,98;Runner;4,0;Facebook Ads
173;37;Designer;RJ;8981,78;2024-05-03;1;281,4;Slip-on;5,0;Instagram
174;22;Outros;PR;5233,2;2024-02-08;3;1034,19;Runner;4,5;SEO
175;32;Psicólogo;RS;6452,07;2024-03-26;2;613,29;Runner;4,0;Indicação
176;25;Outros;MG;5252,03;2024-02-13;2;669,49;Classic;4,5;Instagram
177;31;Engenheiro;RS;13234,09;2024-04-20;1;350,81;Runner;5,0;Facebook Ads
178;26;Engenheiro;RS;9349,22;2024-10-28;1;288,33;Runner;5,0;Google Ads
179;32;Desenvolvedor;SC;9269,26;2024-01-20;1;281,99;Slip-on;5,0;Facebook Ads
180;28;Publicitário;PE;8366,46;2024-10-19;1;262,15;Classic;4,0;Google Ads
181;28;Marketing;PE;8050,07;2024-01-03;1;336,28;Runner;5,0;Indicação
182;33;Designer;GO;8455,97;2024-07-29;1;327,75;Runner;5,0;Instagram
183;28;Desenvolvedor;SP;9422,59;2024-05-25;1;302,84;Runner;5,0;Facebook Ads
184;26;Consultor;MG;10073,8;2024-07-16;3;1091,75;Slip-on;4,5;Instagram
185;41;Designer;PR;10513,75;2024-04-27;1;313,48;Slip-on;4,5;Facebook Ads
186;35;Contador;SP;10151,17;2024-03-14;3;1057,66;Classic;5,0;LinkedIn
187;33;Desenvolvedor;SP;9618,93;2024-12-29;1;358,54;Slip-on;4,0;Google Ads
188;27;Designer;SP;8634,05;2024-04-29;3;926,85;Runner;4,5;Google Ads
189;34;Desenvolvedor;RS;11669,36;2024-01-21;2;614,64;Slip-on;3,5;Indicação
190;39;UX/UI Designer;PB;8798,27;2024-05-21;2;700,76;Runner;4,0;Instagram
191;29;Outros;RS;6550,34;2024-06-09;1;285,32;Slip-on;5,0;Instagram
192;25;Administrador;SC;5836,84;2024-03-26;2;633,61;Runner;4,5;Google Ads
193;31;Designer;SP;9441,72;2024-05-04;2;647,45;Classic;4,5;Outros
194;33;Analista de Dados;SP;13794,52;2024-06-02;1;349,46;Classic;5,0;YouTube
195;35;Designer;RJ;10921,58;2024-01-26;2;605,92;Classic;4,5;Facebook Ads
196;33;Marketing;RJ;8668,64;2024-07-15;3;899,19;Classic;5,0;Instagram
197;31;Advogado;RJ;13355,13;2024-04-13;2;647,98;Classic;5,0;Facebook Ads
198;35;Designer;MG;9287,03;2024-01-08;3;945,92;Classic;5,0;Google Ads
199;35;Advogado;MG;15017,69;2024-03-03;2;608,25;Classic;5,0;Outros
200;31;Desenvolvedor;PR;8490,55;2024-07-14;2;659,66;Runner;4,0;YouTube
201;34;UX/UI Designer;PR;9117,09;2024-12-29;1;311,84;Runner;4,5;Google Ads
202;32;Contador;SP;7235,3;2024-06-28;2;650,34;Runner;4,5;Instagram
203;32;Advogado;BA;10094,89;2024-10-15;1;328,93;Runner;4,0;Google Ads
204;34;Designer;GO;7756,71;2024-07-09;1;337,61;Classic;4,0;SEO
205;28;Jornalista;CE;4994,28;2024-12-20;1;371,78;Slip-on;3,5;Google Ads
206;28;Marketing;SP;7559,85;2024-07-08;1;339,27;Classic;3,5;Indicação
207;36;Product Manager;BA;15099,9;2024-10-01;2;615,38;Runner;4,5;SEO
208;27;Engenheiro;SP;11599,06;2024-11-12;1;276,13;Runner;4,5;SEO
209;24;Designer;SC;6931,74;2024-03-08;3;1040,34;Classic;5,0;Indicação
210;29;Contador;SP;7386,22;2024-09-23;3;1075,63;Classic;5,0;Instagram
211;25;Desenvolvedor;ES;9644,1;2024-08-03;2;586,48;Classic;5,0;Instagram
212;25;Product Manager;SP;10623,49;2024-01-21;2;693,52;Classic;4,5;Google Ads
213;28;Analista de Dados;RS;12510,35;2024-06-10;1;351,52;Classic;5,0;Google Ads
214;23;Gerente de Projetos;ES;8642,63;2024-12-27;1;308,71;Classic;5,0;Facebook Ads
215;26;Analista de Dados;SP;7451,52;2024-07-08;2;681,28;Classic;4,5;Google Ads
216;28;Desenvolvedor;SP;11195,28;2024-10-31;1;281,26;Classic;5,0;Instagram
217;32;Outros;SP;6805,28;2024-01-01;2;744,23;Runner;4,5;Indicação
218;27;Publicitário;SE;8612,37;2024-06-01;2;541,61;Classic;5,0;Indicação
219;25;Marketing;RJ;6891,69;2024-05-26;2;711,68;Classic;4,5;Indicação
220;28;Consultor;RS;14915,79;2024-09-22;1;270,02;Classic;4,0;Indicação
221;32;Analista de Dados;GO;14109,43;2024-09-14;1;304,95;Classic;5,0;Google Ads
222;25;UX/UI Designer;RJ;8734,4;2024-10-20;2;675,05;Runner;4,5;Facebook Ads
223;33;Vendas;DF;9011,41;2024-06-04;2;640,79;Slip-on;3,5;Facebook Ads
224;23;Marketing;MG;6947,43;2024-06-04;1;315,68;Classic;4,0;Google Ads
225;31;Consultor;SP;10849,41;2024-05-05;2;618,37;Classic;5,0;Instagram
226;30;Desenvolvedor;SP;12570,77;2024-12-09;1;358,27;Classic;3,5;Facebook Ads
227;26;Desenvolvedor;SC;9011,18;2024-01-30;1;345,99;Classic;4,5;Facebook Ads
228;44;UX/UI Designer;SP;12992,99;2024-05-05;1;304,65;Classic;4,0;Instagram
229;29;Jornalista;GO;5713,24;2024-02-11;3;964,84;Classic;5,0;Google Ads
230;34;UX/UI Designer;SP;10396,46;2024-05-04;1;335,61;Classic;5,0;YouTube
231;30;UX/UI Designer;RS;7768,16;2024-12-06;1;371,78;Slip-on;4,0;Instagram
232;30;Marketing;RJ;6592,88;2024-09-02;2;616,74;Classic;5,0;LinkedIn
233;25;Vendas;RR;6250,22;2024-12-17;1;306,69;Classic;5,0;Facebook Ads
234;30;Médico;RJ;20059,3;2024-08-06;1;373,23;Runner;5,0;Google Ads
235;25;Administrador;RJ;8564,39;2024-12-17;1;293,04;Classic;5,0;Google Ads
236;32;Jornalista;MS;4932,41;2024-11-18;1;280,38;Classic;5,0;Facebook Ads
237;26;Outros;SP;8027,27;2024-09-20;3;778,22;Classic;4,5;Indicação
238;24;Desenvolvedor;PB;9984,39;2024-07-19;2;728,45;Classic;4,5;Google Ads
239;28;Marketing;SP;7434,75;2024-09-15;1;345,06;Classic;4,0;YouTube
240;31;Desenvolvedor;BA;9238,79;2024-12-23;1;280,99;Classic;4,5;Facebook Ads
241;33;Médico;RJ;23306,83;2024-08-08;1;359,29;Classic;3,5;Google Ads
242;28;Jornalista;SP;6321,43;2024-02-01;2;682,06;Classic;5,0;Google Ads
243;32;Contador;DF;8464,71;2024-07-09;1;378,51;Classic;4,0;YouTube
244;34;Publicitário;SP;8900,88;2024-08-28;1;271,49;Runner;4,0;SEO
245;22;Designer;SC;5667,37;2024-05-18;2;590,97;Slip-on;5,0;LinkedIn
246;38;Vendas;RJ;10576,46;2024-06-27;1;341,41;Classic;5,0;Indicação
247;22;Designer;PR;6702,83;2024-01-24;2;760,76;Classic;4,0;SEO
248;31;Desenvolvedor;RJ;12822,35;2024-01-28;3;893,16;Runner;5,0;Google Ads
249;34;Designer;MG;8320,2;2024-01-16;2;749,59;Runner;5,0;SEO
250;23;Marketing;MS;5677,63;2024-01-03;1;330,95;Runner;4,0;YouTube
251;27;Marketing;SP;6349,71;2024-05-17;2;599,71;Classic;5,0;SEO
252;32;Outros;SP;8480,41;2024-04-11;2;601,74;Classic;5,0;Instagram
253;31;Product Manager;DF;16800,28;2024-04-13;1;362,52;Classic;4,5;Facebook Ads
254;26;Vendas;SP;6000,17;2024-02-24;2;606,68;Classic;4,5;Indicação
255;40;Administrador;SP;12680,2;2024-08-12;1;288,27;Classic;5,0;Indicação
256;37;Gerente de Projetos;RJ;11286,07;2024-08-05;1;349,86;Classic;5,0;Indicação
257;30;Psicólogo;SP;8023,41;2024-07-17;1;354,92;Runner;4,0;SEO
258;31;Marketing;PR;7681,41;2024-02-18;3;972,98;Classic;4,0;Indicação
259;31;Médico;MG;16197,72;2024-09-04;1;368,39;Classic;4,5;Indicação
260;24;Product Manager;DF;11987,25;2024-07-20;1;325,19;Slip-on;4,5;YouTube
261;31;Desenvolvedor;AM;10668,07;2024-12-16;1;344,24;Slip-on;5,0;Indicação
262;41;UX/UI Designer;SP;11305,33;2024-01-19;1;270,11;Classic;5,0;Indicação
263;27;Arquiteto;RJ;10824,28;2024-09-03;1;376,37;Classic;4,5;Instagram
264;33;Outros;SC;9133,37;2024-02-13;1;272,78;Slip-on;4,5;Indicação
265;26;Product Manager;BA;14392,36;2024-03-31;1;296,25;Slip-on;3,5;LinkedIn
266;25;Outros;SE;6284,03;2024-03-29;2;613,43;Runner;5,0;Outros
267;30;Marketing;DF;7450,28;2024-06-29;1;321,49;Classic;5,0;Google Ads
268;29;Designer;SP;5955,11;2024-10-04;2;665,88;Runner;4,5;Instagram
269;29;Jornalista;SP;5468,54;2024-10-29;2;698,14;Runner;5,0;YouTube
270;29;Designer;SP;6900,33;2024-04-21;2;546,05;Classic;5,0;Instagram
271;28;Advogado;GO;9477,4;2024-01-24;1;355,34;Classic;3,5;Facebook Ads
272;37;Marketing;MG;10148,42;2024-09-05;1;326,55;Classic;4,5;Google Ads
273;28;Engenheiro;SP;9273,52;2024-11-27;1;356,11;Runner;4,5;Facebook Ads
274;27;Publicitário;GO;6609,79;2024-02-16;2;774,76;Classic;5,0;Indicação
275;24;UX/UI Designer;PR;6428,63;2024-09-11;1;312,01;Classic;4,5;LinkedIn
276;31;Desenvolvedor;MG;11939,37;2024-07-09;1;340,36;Runner;5,0;Indicação
277;28;Médico;PR;19039,42;2024-05-05;1;257,43;Classic;4,5;Indicação
278;25;Desenvolvedor;SC;9651,98;2024-04-18;3;950,71;Classic;5,0;Indicação
279;28;Desenvolvedor;GO;7464,89;2024-11-09;1;327,25;Runner;4,5;Indicação
280;29;UX/UI Designer;RJ;8017,1;2024-12-01;1;313,9;Runner;4,5;Google Ads
281;35;Desenvolvedor;SP;10442,5;2024-01-22;2;668,3;Runner;5,0;SEO
282;36;Desenvolvedor;PR;9337,0;2024-04-22;1;295,71;Classic;5,0;Facebook Ads
283;35;Gerente de Projetos;SP;12713,06;2024-02-19;2;660,48;Classic;4,5;LinkedIn
284;31;Arquiteto;RS;8491,24;2024-05-07;2;552,56;Classic;4,5;Outros
285;24;Analista de Dados;SP;11221,0;2024-11-20;2;619,05;Runner;4,5;Instagram
286;24;Gerente de Projetos;MG;11349,78;2024-01-02;1;370,89;Runner;4,0;Google Ads
287;38;Product Manager;SP;18340,03;2024-03-24;1;339,15;Runner;4,5;Instagram
288;28;Arquiteto;MG;9268,3;2024-02-28;2;779,86;Classic;4,0;LinkedIn
289;32;Engenheiro;SP;12573,15;2024-04-07;1;291,8;Classic;5,0;Instagram
290;37;Designer;SC;9800,24;2024-10-14;1;339,72;Runner;4,5;YouTube
291;24;Advogado;BA;10551,31;2024-03-13;2;699,28;Classic;5,0;Indicação
292;26;Consultor;GO;9347,36;2024-02-16;1;281,82;Classic;5,0;Facebook Ads
293;28;Designer;RS;7775,09;2024-04-03;3;1131,46;Runner;5,0;Instagram
294;26;Gerente de Projetos;SC;12040,27;2024-08-25;1;344,3;Classic;5,0;Facebook Ads
295;35;Professor;BA;5845,15;2024-07-05;1;319,78;Runner;4,5;Facebook Ads
296;31;Médico;SP;21458,98;2024-05-29;2;627,87;Runner;4,5;Instagram
297;23;Designer;SP;7066,09;2024-08-29;1;334,97;Classic;5,0;LinkedIn
298;32;Publicitário;GO;8665,66;2024-03-09;1;359,09;Runner;4,5;Indicação
299;24;Administrador;GO;6165,52;2024-02-24;3;901,2;Classic;5,0;YouTube
300;25;Marketing;MG;7360,96;2024-05-29;1;378,53;Classic;4,5;Facebook Ads
301;22;Product Manager;RJ;10980,57;2024-06-08;2;555,33;Classic;3,5;Indicação
302;32;Analista de Dados;SP;9166,95;2024-07-27;1;372,32;Classic;5,0;Instagram
303;25;Designer;SP;5742,53;2024-02-16;1;284,19;Slip-on;5,0;Instagram
